CCE 01,Slide Advancer,n/a,n/a,n/a,n/a
CCE 02,Slide Advancer,n/a,n/a,n/a,n/a
CCE 03,Slide Advancer,n/a,n/a,n/a,n/a
CCE 04,Slide Advancer,n/a,n/a,n/a,n/a
CCE 05,Slide Advancer,n/a,n/a,n/a,n/a
CCE 06,Slide Advancer,n/a,n/a,n/a,n/a
CCE 08,Slide Advancer,n/a,n/a,n/a,n/a
CCE 09,Slide Advancer,n/a,n/a,n/a,n/a
CCE 10,Slide Advancer,n/a,n/a,n/a,n/a
CCE 11,Slide Advancer,n/a,n/a,n/a,n/a
CCE 12,Slide Advancer,n/a,n/a,n/a,n/a
CCE 14,Slide Advancer,n/a,n/a,n/a,n/a
CCE 20,Slide Advancer,n/a,n/a,n/a,n/a
CCE 21,Slide Advancer,n/a,n/a,n/a,n/a
TEMP1,Slide Advancer,n/a,n/a,n/a,n/a
TEMP2,Slide Advancer,n/a,n/a,n/a,n/a
Extra Slide Advancer,Slide Advancer,n/a,n/a,n/a,n/a
CCE Projector 01,InFocus LCD Projector,IN1100,AZVJ92400015,6871,800
CCE Projector 02,InFocus LCD Projector,IN1100,AZVJ84300224,6662,800
CCE Projector 7,InFocus LCD Projector,IN1110,BHRJ30100198,N/A,1000
CCE Projector 8,InFocus LCD Projector,IN1110,BHRJ30100190,N/A,1000
CCE Projector 9,InFocus LCD Projector,IN1144,BMGC31000095,N/A,600
CCE Projector 03,InFocus LCD Projector,IN1100,AZVJ84300210,6663,800
CCE Projector 04,NEC LCD Projector,VT575,5900070FJ,n/a,945
CTS CHKOUT 08,Canon Printer ,iP90v,HFKB72463,n/a,200
LTPT-E6520-01,Canon Printer ,PIXMA iP100,ABTB26837,n/a,200
LTPT-E6430-02,Canon Printer ,PIXMA iP100,ACCY90117,n/a,200
LTPT-E6430-03,Canon Printer ,PIXMA iP100,ACCY90112,n/a,200
LTPT-E6430-04,Canon Printer,PIXMA iP100,ACCY90115,n/a,200
PT-E6430-06,Canon Printer ,PIXMA iP100,ABTB26837,n/a,200
PT-E6430-07,Canon Printer ,PIXMA iP100,ABTB26837,n/a,200
LTPT-E6430-05,Canon Printer,PIXMA iP100,ABTB26837,n/a,200
PT-iP90v-02,Canon Printer ,iP90v,HFKB08228,n/a,200
PT-iP90v-03,Canon Printer ,iP90v,HFKB09385,n/a,200
